,datetime,meas_num,microp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
0,2023-04-30 23:02:00.507479,,,,,,,,,,,
1,2023-04-30 23:02:00.520535,1.0,8,8,0.074097,-0.093262,1.001343,0.366211,0.061035,-0.427246,9.716797,11.254883
2,2023-04-30 23:02:00.529864,2.0,10,10,0.073486,-0.092896,1.001709,0.122070,0.122070,-0.366211,9.716797,11.254883
3,2023-04-30 23:02:00.551952,3.0,15,15,0.074097,-0.093384,1.001831,0.183105,0.183105,-0.305176,9.729004,11.169434
4,2023-04-30 23:02:00.583563,4.0,10,10,0.073730,-0.092896,1.000732,0.488281,0.305176,-0.549316,9.729004,11.169434
5,2023-04-30 23:02:00.607604,5.0,9,9,0.073608,-0.093750,1.001465,0.366211,0.366211,-0.488281,10.058594,11.169434
6,2023-04-30 23:02:00.633060,6.0,8,8,0.072998,-0.093994,1.001343,0.549316,0.244141,-0.488281,10.058594,11.169434
7,2023-04-30 23:02:00.648604,7.0,6,6,0.073242,-0.093018,1.002563,0.610352,0.122070,-0.488281,10.058594,11.169434
8,2023-04-30 23:02:00.659643,8.0,15,15,0.073608,-0.092651,1.001831,0.427246,0.366211,-0.427246,9.777832,10.729980
9,2023-04-30 23:02:00.690612,9.0,10,10,0.073975,-0.092896,1.001099,0.305176,0.183105,-0.366211,9.777832,10.729980
10,2023-04-30 23:02:00.711416,10.0,1,1,0.073364,-0.093262,1.001465,0.366211,0.122070,-0.549316,9.777832,10.729980
11,2023-04-30 23:02:00.731216,11.0,15,15,0.073608,-0.093994,1.001343,0.183105,0.183105,-0.427246,9.716797,10.974121
12,2023-04-30 23:02:00.752648,12.0,3,3,0.073975,-0.092163,1.001465,0.549316,0.366211,-0.488281,9.716797,10.974121
13,2023-04-30 23:02:00.774254,13.0,9,9,0.073242,-0.092896,1.001099,0.427246,0.061035,-0.305176,9.716797,10.974121
14,2023-04-30 23:02:00.792151,14.0,8,8,0.073608,-0.094482,1.002197,0.427246,0.061035,-0.427246,9.716797,11.254883
15,2023-04-30 23:02:00.811227,15.0,10,10,0.073730,-0.093384,1.001465,0.366211,0.061035,-0.427246,9.716797,11.254883
16,2023-04-30 23:02:00.832958,16.0,13,13,0.072266,-0.093262,1.001343,0.305176,0.183105,-0.427246,9.716797,11.254883
17,2023-04-30 23:02:00.848307,17.0,13,13,0.074707,-0.093628,1.002930,0.488281,0.183105,-0.305176,9.570312,10.925293
18,2023-04-30 23:02:00.860857,18.0,15,15,0.073730,-0.093872,1.002319,0.366211,0.183105,-0.427246,9.570312,10.925293
19,2023-04-30 23:02:00.881310,19.0,10,10,0.073730,-0.094360,1.001831,0.427246,0.122070,-0.427246,9.570312,10.925293
20,2023-04-30 23:02:00.900612,20.0,7,7,0.073242,-0.093384,1.001221,0.366211,0.122070,-0.305176,9.570312,10.925293
21,2023-04-30 23:02:00.923199,21.0,11,11,0.072632,-0.093140,1.000854,0.366211,0.183105,-0.305176,10.083008,11.303711
22,2023-04-30 23:02:00.944513,22.0,3,3,0.073730,-0.092529,1.001343,0.305176,0.244141,-0.366211,10.083008,11.303711
23,2023-04-30 23:02:00.961611,23.0,11,11,0.074097,-0.093750,1.001221,0.427246,0.244141,-0.305176,10.083008,11.303711
24,2023-04-30 23:02:00.972612,24.0,10,10,0.074707,-0.094604,1.001587,0.427246,0.122070,-0.305176,10.388184,11.254883
25,2023-04-30 23:02:00.980608,25.0,13,13,0.073853,-0.093750,1.001587,0.610352,0.000000,-0.427246,10.388184,11.254883
26,2023-04-30 23:02:00.989612,26.0,6,6,0.074219,-0.093140,1.001099,0.366211,0.061035,-0.366211,10.388184,11.254883
