,datetime,meas_num,microp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
0,2023-04-30 23:07:05.236017,0.0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0
1,2023-04-30 23:07:05.265454,1.0,5,5,0.071777,-0.055786,0.996338,-1.770020,-2.929688,1.159668,9.851074,11.71875
2,2023-04-30 23:07:05.283522,2.0,11,11,0.073242,-0.054810,0.996094,0.061035,-0.183105,-0.549316,9.680176,11.157227
3,2023-04-30 23:07:05.298179,3.0,11,11,0.077759,-0.056641,0.987549,0.549316,0.183105,-0.671387,9.680176,11.157227
4,2023-04-30 23:07:05.309910,4.0,11,11,0.078369,-0.063354,0.988770,0.427246,0.488281,-0.610352,9.680176,11.157227
5,2023-04-30 23:07:05.322774,5.0,12,12,0.075684,-0.071899,0.990723,0.305176,0.366211,-0.610352,10.351562,10.961914
6,2023-04-30 23:07:05.334908,6.0,12,12,0.082520,-0.072632,0.990601,0.427246,0.122070,-0.488281,10.351562,10.961914
7,2023-04-30 23:07:05.350879,7.0,12,12,0.081909,-0.070312,0.986694,0.427246,0.122070,-0.488281,10.351562,10.961914
8,2023-04-30 23:07:05.367808,8.0,4,4,0.077881,-0.072754,0.987061,0.427246,-0.061035,-0.427246,10.351562,10.961914
9,2023-04-30 23:07:05.379188,9.0,15,15,0.076538,-0.069458,0.981689,0.427246,0.122070,-0.427246,10.534668,10.424805
10,2023-04-30 23:07:05.400258,10.0,15,15,0.078369,-0.070068,0.982056,0.427246,0.183105,-0.549316,10.534668,10.424805
11,2023-04-30 23:07:05.420569,11.0,8,8,0.077271,-0.069824,0.990234,-0.061035,0.244141,-0.427246,10.534668,10.424805
12,2023-04-30 23:07:05.440048,12.0,12,12,0.078613,-0.067261,0.991333,-0.061035,-0.061035,-0.427246,9.680176,11.425781
13,2023-04-30 23:07:05.459798,13.0,12,12,0.079224,-0.065308,0.992188,0.183105,0.122070,-0.488281,9.680176,11.425781
14,2023-04-30 23:07:05.478465,14.0,5,5,0.077393,-0.062134,0.986572,0.305176,-0.244141,-0.488281,9.680176,11.425781
15,2023-04-30 23:07:05.498647,15.0,15,15,0.077881,-0.063232,0.982666,0.549316,-0.061035,-0.549316,9.741211,11.14502
16,2023-04-30 23:07:05.520631,16.0,9,9,0.076904,-0.064331,0.983032,0.610352,0.183105,-0.610352,9.741211,11.14502
17,2023-04-30 23:07:05.540340,17.0,12,12,0.079224,-0.066162,0.986938,0.305176,0.427246,-0.488281,9.741211,11.14502
18,2023-04-30 23:07:05.563346,18.0,11,11,0.082031,-0.069702,0.991455,0.427246,0.427246,-0.366211,10.27832,11.035156
19,2023-04-30 23:07:05.585786,19.0,15,15,0.080566,-0.069946,0.991333,0.244141,0.122070,-0.12207,10.27832,11.035156
20,2023-04-30 23:07:05.605171,20.0,14,14,0.078979,-0.066772,0.990234,0.427246,-0.061035,-0.244141,10.27832,11.035156
21,2023-04-30 23:07:05.625029,21.0,14,14,0.076416,-0.063843,0.984009,0.427246,-0.183105,-0.244141,10.27832,11.035156
22,2023-04-30 23:07:05.649340,22.0,8,8,0.076416,-0.063843,0.984009,0.427246,-0.183105,-0.244141,10.766602,11.181641
23,2023-04-30 23:07:05.665685,23.0,13,13,0.077148,-0.067749,0.985107,0.427246,0.122070,-0.549316,10.766602,11.181641
24,2023-04-30 23:07:05.684596,24.0,5,5,0.078369,-0.072510,0.990234,0.488281,0.183105,-0.671387,10.766602,11.181641
25,2023-04-30 23:07:05.703620,25.0,10,10,0.081665,-0.072021,0.991821,0.366211,0.305176,-0.427246,10.766602,11.181641
26,2023-04-30 23:07:05.725130,26.0,13,13,0.080933,-0.071533,0.990234,0.183105,0.000000,-0.427246,10.266113,11.206055
27,2023-04-30 23:07:05.746331,27.0,10,10,0.077393,-0.066895,0.987793,0.427246,0.000000,-0.244141,10.266113,11.206055
28,2023-04-30 23:07:05.765319,28.0,10,10,0.076172,-0.065796,0.985840,0.671387,0.183105,-0.427246,10.266113,11.206055
29,2023-04-30 23:07:05.787823,29.0,7,7,0.077637,-0.064697,0.986206,0.305176,0.000000,-0.427246,10.021973,11.608887
30,2023-04-30 23:07:05.811718,30.0,11,11,0.077637,-0.064453,0.989624,0.366211,0.244141,-0.488281,10.021973,11.608887
31,2023-04-30 23:07:05.834088,31.0,11,11,0.079590,-0.066650,0.993286,0.366211,0.305176,-0.549316,10.021973,11.608887
32,2023-04-30 23:07:05.855242,32.0,13,13,0.078735,-0.066528,0.992920,0.427246,0.183105,-0.427246,10.021973,11.608887
33,2023-04-30 23:07:05.876043,33.0,12,12,0.078003,-0.067505,0.986938,0.488281,0.183105,-0.305176,10.388184,11.108398
34,2023-04-30 23:07:05.899987,34.0,13,13,0.078003,-0.067017,0.986206,0.549316,0.061035,-0.366211,10.388184,11.108398
35,2023-04-30 23:07:05.917584,35.0,15,15,0.078491,-0.068726,0.989746,0.183105,0.366211,-0.427246,9.985352,11.181641
36,2023-04-30 23:07:05.938490,36.0,15,15,0.078491,-0.068848,0.992920,0.305176,0.183105,-0.366211,9.985352,11.181641
37,2023-04-30 23:07:05.955131,37.0,13,13,0.078491,-0.068848,0.992920,0.366211,0.244141,-0.244141,9.985352,11.181641
38,2023-04-30 23:07:05.971134,38.0,13,13,0.079102,-0.069092,0.993164,0.366211,0.183105,-0.427246,9.985352,11.181641
39,2023-04-30 23:07:05.987102,39.0,7,7,0.078613,-0.069214,0.992065,0.488281,0.183105,-0.549316,10.131836,11.279297
40,2023-04-30 23:07:06.006311,40.0,3,3,0.078369,-0.067993,0.988159,0.488281,0.122070,-0.366211,10.131836,11.279297
41,2023-04-30 23:07:06.028706,41.0,15,15,0.078613,-0.067017,0.989502,0.427246,0.183105,-0.305176,10.131836,11.279297
42,2023-04-30 23:07:06.048146,42.0,15,15,0.078247,-0.066650,0.990479,0.427246,0.183105,-0.488281,10.217285,10.546875
43,2023-04-30 23:07:06.072968,43.0,14,14,0.080078,-0.067017,0.992310,0.183105,0.183105,-0.488281,10.217285,10.546875
44,2023-04-30 23:07:06.090790,44.0,9,9,0.079102,-0.065918,0.993896,0.488281,0.061035,-0.305176,10.217285,10.546875
45,2023-04-30 23:07:06.107547,45.0,12,12,0.079956,-0.067627,0.991089,0.427246,0.183105,-0.366211,10.217285,10.546875
46,2023-04-30 23:07:06.125307,46.0,6,6,0.077637,-0.067139,0.988770,0.427246,0.061035,-0.549316,9.58252,11.450195
47,2023-04-30 23:07:06.141523,47.0,3,3,0.077637,-0.067017,0.989502,0.427246,0.000000,-0.427246,9.58252,11.450195
48,2023-04-30 23:07:06.157080,48.0,6,6,0.078125,-0.067749,0.992432,0.122070,0.244141,-0.366211,9.58252,11.450195
49,2023-04-30 23:07:06.173825,49.0,10,10,0.079590,-0.068237,0.993652,0.427246,0.244141,-0.366211,9.912109,11.328125
50,2023-04-30 23:07:06.189973,50.0,4,4,0.079468,-0.068359,0.993896,0.488281,0.122070,-0.427246,9.912109,11.328125
51,2023-04-30 23:07:06.210949,51.0,14,14,0.078735,-0.067383,0.992065,0.366211,-0.122070,-0.488281,9.912109,11.328125
52,2023-04-30 23:07:06.233299,52.0,14,14,0.077881,-0.067749,0.990479,0.427246,0.122070,-0.427246,9.570312,11.071777
53,2023-04-30 23:07:06.255608,53.0,4,4,0.078369,-0.068481,0.989258,0.549316,0.183105,-0.427246,9.570312,11.071777
54,2023-04-30 23:07:06.285416,54.0,14,14,0.077515,-0.067627,0.992554,0.305176,0.122070,-0.488281,9.570312,11.071777
55,2023-04-30 23:07:06.306175,55.0,15,15,0.079590,-0.068115,0.993286,0.366211,0.366211,-0.427246,9.570312,11.071777
56,2023-04-30 23:07:06.330660,56.0,8,8,0.078857,-0.067871,0.994629,0.366211,0.183105,-0.305176,10.27832,11.206055
57,2023-04-30 23:07:06.352656,57.0,10,10,0.080078,-0.065796,0.992920,0.549316,0.122070,-0.427246,10.27832,11.206055
58,2023-04-30 23:07:06.373843,58.0,12,12,0.078491,-0.066284,0.990112,0.305176,0.000000,-0.427246,10.27832,11.206055
59,2023-04-30 23:07:06.388844,59.0,6,6,0.078491,-0.067627,0.993896,0.427246,0.122070,-0.305176,9.960938,11.05957
60,2023-04-30 23:07:06.402842,60.0,12,12,0.079102,-0.069092,0.992920,0.488281,0.183105,-0.366211,9.960938,11.05957
61,2023-04-30 23:07:06.413843,61.0,9,9,0.079224,-0.068481,0.995361,0.488281,0.183105,-0.305176,9.960938,11.05957
62,2023-04-30 23:07:06.424847,62.0,11,11,0.080322,-0.068604,0.993896,0.366211,0.305176,-0.366211,9.863281,10.986328
63,2023-04-30 23:07:06.433844,63.0,12,12,0.077637,-0.067749,0.992798,0.488281,0.122070,-0.488281,9.863281,10.986328
64,2023-04-30 23:07:06.443845,64.0,8,8,0.078613,-0.067139,0.992798,0.732422,0.061035,-0.305176,9.863281,10.986328
65,2023-04-30 23:07:06.460203,65.0,9,9,0.078613,-0.066650,0.992432,0.366211,0.000000,-0.305176,10.119629,11.254883
66,2023-04-30 23:07:06.484013,66.0,12,12,0.079468,-0.068237,0.993896,0.305176,0.244141,-0.488281,10.119629,11.254883
67,2023-04-30 23:07:06.503506,67.0,3,3,0.078613,-0.067627,0.995972,0.549316,0.244141,-0.671387,9.851074,11.108398
68,2023-04-30 23:07:06.520946,68.0,6,6,0.078247,-0.066650,0.995361,0.671387,0.244141,-0.610352,9.851074,11.108398
69,2023-04-30 23:07:06.538322,69.0,6,6,0.078735,-0.066650,0.993408,0.610352,0.427246,-0.549316,9.851074,11.108398
70,2023-04-30 23:07:06.558528,70.0,12,12,0.078003,-0.067017,0.995972,0.610352,0.488281,-0.488281,9.924316,11.108398
71,2023-04-30 23:07:06.578247,71.0,6,6,0.077759,-0.068481,0.997314,0.366211,0.244141,-0.427246,9.924316,11.108398
72,2023-04-30 23:07:06.601095,72.0,10,10,0.078857,-0.067627,0.996338,0.305176,0.061035,-0.427246,9.924316,11.108398
73,2023-04-30 23:07:06.624961,73.0,10,10,0.078979,-0.068604,0.995483,0.427246,0.061035,-0.488281,9.924316,11.108398
74,2023-04-30 23:07:06.648468,74.0,12,12,0.077881,-0.068115,0.992920,0.488281,0.122070,-0.427246,9.484863,11.242676
75,2023-04-30 23:07:06.669854,75.0,14,14,0.078247,-0.067383,0.994629,0.427246,0.061035,-0.488281,9.484863,11.242676
76,2023-04-30 23:07:06.692194,76.0,6,6,0.079956,-0.068481,0.997803,0.488281,0.366211,-0.427246,9.472656,11.254883
77,2023-04-30 23:07:06.718041,77.0,6,6,0.079224,-0.068237,0.997437,0.427246,0.305176,-0.610352,9.472656,11.254883
78,2023-04-30 23:07:06.738741,78.0,5,5,0.079224,-0.068237,0.997437,0.427246,0.305176,-0.610352,9.472656,11.254883
79,2023-04-30 23:07:06.762028,79.0,13,13,0.079224,-0.067505,0.995361,0.183105,0.000000,-0.427246,9.472656,11.254883
80,2023-04-30 23:07:06.783741,80.0,13,13,0.079224,-0.065552,0.996338,0.305176,-0.122070,-0.427246,9.655762,11.535645
81,2023-04-30 23:07:06.805058,81.0,10,10,0.078003,-0.066162,0.993652,0.366211,0.183105,-0.366211,9.655762,11.535645
82,2023-04-30 23:07:06.829213,82.0,3,3,0.077759,-0.067139,0.995972,0.488281,0.122070,-0.305176,9.655762,11.535645
